date,name,unit,OT
2022-06-19 14:10:00,YC0052,m5Max,448
2022-06-19 14:25:00,YC0052,m5Max,420
2022-06-19 14:40:00,YC0052,m5Max,448
2022-06-19 14:55:00,YC0052,m5Max,448
2022-06-19 15:10:00,YC0052,m5Max,448
2022-06-19 15:25:00,YC0052,m5Max,420
2022-06-19 15:40:00,YC0052,m5Max,448
2022-06-19 15:55:00,YC0052,m5Max,448
2022-06-19 16:10:00,YC0052,m5Max,420
2022-06-19 16:25:00,YC0052,m5Max,420
2022-06-19 16:40:00,YC0052,m5Max,308
2022-06-19 16:55:00,YC0052,m5Max,336
2022-06-19 17:10:00,YC0052,m5Max,364
2022-06-19 17:25:00,YC0052,m5Max,392
2022-06-19 17:40:00,YC0052,m5Max,392
2022-06-19 17:55:00,YC0052,m5Max,448
2022-06-19 18:10:00,YC0052,m5Max,448
2022-06-19 18:25:00,YC0052,m5Max,448
2022-06-19 18:40:00,YC0052,m5Max,448
2022-06-19 18:55:00,YC0052,m5Max,448
2022-06-19 19:10:00,YC0052,m5Max,448
2022-06-19 19:25:00,YC0052,m5Max,420
2022-06-19 19:40:00,YC0052,m5Max,448
2022-06-19 19:55:00,YC0052,m5Max,420
2022-06-19 20:10:00,YC0052,m5Max,420
2022-06-19 20:25:00,YC0052,m5Max,420
2022-06-19 20:40:00,YC0052,m5Max,420
2022-06-19 20:55:00,YC0052,m5Max,420
2022-06-19 21:10:00,YC0052,m5Max,420
2022-06-19 21:25:00,YC0052,m5Max,420
2022-06-19 21:40:00,YC0052,m5Max,420
2022-06-19 21:55:00,YC0052,m5Max,420
2022-06-19 22:10:00,YC0052,m5Max,420
2022-06-19 22:25:00,YC0052,m5Max,476
2022-06-19 22:40:00,YC0052,m5Max,476
2022-06-19 22:55:00,YC0052,m5Max,644
2022-06-19 23:10:00,YC0052,m5Max,504
2022-06-19 23:25:00,YC0052,m5Max,476
2022-06-19 23:40:00,YC0052,m5Max,672
2022-06-19 23:55:00,YC0052,m5Max,672
2022-06-20 00:10:00,YC0052,m5Max,840
2022-06-20 00:25:00,YC0052,m5Max,952
2022-06-20 00:40:00,YC0052,m5Max,1092
2022-06-20 00:55:00,YC0052,m5Max,1120
2022-06-20 01:10:00,YC0052,m5Max,1232
2022-06-20 01:25:00,YC0052,m5Max,1316
2022-06-20 01:40:00,YC0052,m5Max,1316
2022-06-20 01:55:00,YC0052,m5Max,1484
2022-06-20 02:10:00,YC0052,m5Max,1428
2022-06-20 02:25:00,YC0052,m5Max,1456
2022-06-20 02:40:00,YC0052,m5Max,1232
2022-06-20 02:55:00,YC0052,m5Max,1428
2022-06-20 03:10:00,YC0052,m5Max,1232
2022-06-20 03:25:00,YC0052,m5Max,1232
2022-06-20 03:40:00,YC0052,m5Max,1204
2022-06-20 03:55:00,YC0052,m5Max,1232
2022-06-20 04:10:00,YC0052,m5Max,1176
2022-06-20 04:25:00,YC0052,m5Max,1260
2022-06-20 04:40:00,YC0052,m5Max,1400
2022-06-20 04:55:00,YC0052,m5Max,1596
2022-06-20 05:10:00,YC0052,m5Max,1680
2022-06-20 05:25:00,YC0052,m5Max,1820
2022-06-20 05:40:00,YC0052,m5Max,1764
2022-06-20 05:55:00,YC0052,m5Max,2100
2022-06-20 06:10:00,YC0052,m5Max,2044
2022-06-20 06:25:00,YC0052,m5Max,2072
2022-06-20 06:40:00,YC0052,m5Max,2072
2022-06-20 06:55:00,YC0052,m5Max,1876
2022-06-20 07:10:00,YC0052,m5Max,1932
2022-06-20 07:25:00,YC0052,m5Max,1820
